Span:,-30,Load Case,Mx,My,Mxy,Mz,Fx,Fy,Fxy,Fz,Saftey Factor
Mx,Max,dlc61_U50_Yp8_37,690721214.4,-72159238.8,694480219.2,44463810.6,552721.1765625,-3989990.8125,4028092.2,-33221094.3,1.35
Mx,Min,dlc61_U50_Ym8_278,-750888921.6,157737898.8,767277878.4,-41708239.2,1803719.1375,4330810.125,4691408.9625,-32907470.4,1.35
My,Max,dlc13_U18_Ym10_353,32675643,710879328,711629928,-19075811.85,4711541.175,-447478.93125,4732743.2625,-33972893.1,1.35
My,Min,dlc14_U11,158127206.4,-300400012.8,339476637.6,53064028.8,-1291984.340625,-801846.253125,1520585.6625,-33631829.1,1.35
Mxy,Max,dlc61_U50_Ym8_278,-750004963.2,168049933.2,768601526.4,-40541790.6,1898357.34375,4318674.975,4717490.2875,-32986178.1,1.35
Mxy,Min,dlc13_U04_Y0_149,-5359.00363769531,25435.8694335938,25994.2763671875,6548052.15,514007.8171875,54187.955859375,516856.2328125,-33693570,1.35
Mz,Max,dlc13_U24_Yp10_735,44533913.4,47472420.6,65091475.8,82461537,1056460.21875,376098.1453125,1121408.8875,-34405074,1.35
Mz,Min,dlc13_U24_Ym10_735,-28646740.8,52842650.4,60108080.4,-90466291.8,747433.828125,362420.409375,830665.884375,-33071141.7,1.35
Fx,Max,dlc13_U18_Ym10_353,-3668729.625,708862190.4,708871694.4,-18743557.95,4744111.6125,222087.6140625,4749307.0875,-34254360,1.35
Fx,Min,dlc13_U24_Y0_583,82436302.8,-102460118.4,131505973.2,-7565699.7,-1306273.8375,-152226.727734375,1315113.80625,-32308443,1.35
Fy,Max,dlc61_U50_Ym8_278,-750888921.6,157737898.8,767277878.4,-41708239.2,1803719.1375,4330810.125,4691408.9625,-32907470.4,1.35
Fy,Min,dlc61_U50_Yp8_37,690721214.4,-72159238.8,694480219.2,44463810.6,552721.1765625,-3989990.8125,4028092.2,-33221094.3,1.35
Fxy,Max,dlc13_U18_Ym10_353,39234645,707416027.2,708503198.4,-20990750.4,4725392.5125,-542071.659375,4756382.4375,-34041208.5,1.35
Fxy,Min,dlc64_U04_Ym8_400,148477.546875,-74925600,74925744,3867.2216796875,17.6490440368652,-23.3661212921143,29.2824935913086,-24894456,1
Fz,Max,dlc64_U34_Yp8_669,100761656,40137020,108461480,10996377,650610.8125,-539721.8125,845336.625,-24115430,1
Fz,Min,dlc13_U26_Yp10_839,30396122.1,246098347.2,247968388.8,50232025.8,3000894.4125,556312.3453125,3052023.975,-35410208.4,1.35
Span:,-29.8999996,Load Case,Mx,My,Mxy,Mz,Fx,Fy,Fxy,Fz,Saftey Factor
Mx,Max,dlc61_U50_Yp8_37,690322219.2,-72214642.8,694089129.6,44463483.9,552661.1015625,-3990379.6125,4028469.1875,-33201816.3,1.35
Mx,Min,dlc61_U50_Ym8_278,-750455884.8,157557376.8,766817020.8,-41707826.1,1803785.2875,4331230.65,4691822.7375,-32888178.9,1.35
My,Max,dlc13_U18_Ym10_353,32630828.4,710408145.6,711157147.2,-19075508.1,4711948.875,-447480.4921875,4733149.275,-33953601.6,1.35
My,Min,dlc14_U11,158046940.8,-300270844.8,339324940.8,53063996.4,-1292160.178125,-801933.4125,1520781.075,-33612586.2,1.35
Mxy,Max,dlc61_U50_Ym8_278,-749573136,167859961.2,768138595.2,-40541350.5,1898428.3875,4319096.5125,4717904.7375,-32966883.9,1.35
Mxy,Min,dlc11_U06_Ym10_680,-19743.8891601563,2625.8447265625,19917.7355957031,2185532.1875,463441.5234375,-17547.7575683594,463773.59375,-31183127.5,1.25
Mz,Max,dlc13_U24_Yp10_735,44571567.6,47366796.6,65040283.8,82461493.8,1056476.165625,376052.878125,1121408.803125,-34385839.2,1.35
Mz,Min,dlc13_U24_Ym10_735,-28610514.9,52767876.6,60025082.4,-90466297.2,747465.215625,362433.0234375,830699.634375,-33051906.9,1.35
Fx,Max,dlc13_U18_Ym10_353,-3646583.8875,708387768,708397185.6,-18743601.15,4744514.25,222089.40703125,4749709.3875,-34235071.2,1.35
